,Washington FLL Eastern Spokane Qualifier Saturday,Washington FLL Eastern Spokane Qualifier Sunday,Washington FLL Central South Pasco Qualifier ,Washington FLL Central South Tri-Cities Qualifier Saturday,Washington FLL Eastside Issaquah Sunday,Washington FLL North Sound Snohomish Qualifier Saturday,Washington FLL North Sound Snohomish Qualifier Sunday,Washington FLL North Sound Everett Qualifier Saturday ,Washington FLL North Sound Everett Qualifier Sunday,Washington FLL Eastside Bellevue Qualifier Saturday,Washington FLL Eastside Bellevue Qualifier Sunday ,Washington FLL South Federal Way Qualifier Saturday,Washington FLL South Federal Way Qualifier Sunday ,Washington FLL South Sound Tacoma Qualifier Sunday 
61593,410.629507535092,410.629507535092,284.5479740996562,281.7814589025764,53.26555102831934,81.11427388964505,81.11427388964505,81.75446570275311,81.75446570275311,53.3032664925827,53.3032664925827,25.790423033007727,25.790423033007727,9.349863870775122
57854,410.629507535092,410.629507535092,284.5479740996562,281.7814589025764,53.26555102831934,81.11427388964505,81.11427388964505,81.75446570275311,81.75446570275311,53.3032664925827,53.3032664925827,25.790423033007727,25.790423033007727,9.349863870775122
28450,381.8274688094006,381.8274688094006,293.5793999027978,292.43226010369466,40.584899904330115,8.095860010989735,8.095860010989735,6.083400190635896,6.083400190635896,24.98561350392659,24.98561350392659,59.176539237195406,59.176539237195406,68.78068984687214
21951,381.8274688094006,381.8274688094006,293.5793999027978,292.43226010369466,40.584899904330115,8.095860010989735,8.095860010989735,6.083400190635896,6.083400190635896,24.98561350392659,24.98561350392659,59.176539237195406,59.176539237195406,68.78068984687214
54581,410.28463846761974,410.28463846761974,335.3602084906359,334.515027639518,84.53445685229143,47.64517498894453,47.64517498894453,39.40369186285094,39.40369186285094,66.58139525963618,66.58139525963618,98.19638301755894,98.19638301755894,103.24286158602814
11856,399.27113940246767,399.27113940246767,267.23719317571073,264.28026187805636,55.336244713137425,90.16516276276135,90.16516276276135,92.53263398115142,92.53263398115142,61.92689688153816,61.92689688153816,28.066891469601707,28.066891469601707,20.187470674432035
25622,388.5019457111627,388.5019457111627,279.36317401861567,277.3992614503452,21.846320514707973,43.91908974716071,43.91908974716071,45.78145714691784,45.78145714691784,15.745977333748682,15.745977333748682,20.086490516913976,20.086490516913976,29.428381617999992
57954,458.4969948480427,458.4969948480427,272.404720224204,266.6816758098155,210.55496269769193,249.172494726003,249.172494726003,252.33428446980372,252.33428446980372,221.3766958495457,221.3766958495457,187.12379392948304,187.12379392948304,179.34497352854711
58820,388.28357191878166,388.28357191878166,290.0800855485511,288.5312666023837,29.916637447529183,24.582619701000258,24.582619701000258,24.463408351196243,24.463408351196243,10.22730448927795,10.22730448927795,41.765252727205265,41.765252727205265,50.14315449552479
55999,375.4632750566129,375.4632750566129,261.06808629806017,258.98228404560376,16.59422385812501,54.516640615759854,54.516640615759854,58.86918244907209,58.86918244907209,28.279484303947385,28.279484303947385,12.67373016417505,12.67373016417505,29.12696564232839
61272,375.4632750566129,375.4632750566129,261.06808629806017,258.98228404560376,16.59422385812501,54.516640615759854,54.516640615759854,58.86918244907209,58.86918244907209,28.279484303947385,28.279484303947385,12.67373016417505,12.67373016417505,29.12696564232839
57850,375.4632750566129,375.4632750566129,261.06808629806017,258.98228404560376,16.59422385812501,54.516640615759854,54.516640615759854,58.86918244907209,58.86918244907209,28.279484303947385,28.279484303947385,12.67373016417505,12.67373016417505,29.12696564232839
57851,375.4632750566129,375.4632750566129,261.06808629806017,258.98228404560376,16.59422385812501,54.516640615759854,54.516640615759854,58.86918244907209,58.86918244907209,28.279484303947385,28.279484303947385,12.67373016417505,12.67373016417505,29.12696564232839
63314,368.4021130863102,368.4021130863102,267.57610958036827,266.06099629357254,9.979730163336122,30.57139456745016,30.57139456745016,36.497739028281266,36.497739028281266,13.365998489909126,13.365998489909126,35.23792095954198,35.23792095954198,49.522448500784975
63313,368.4021130863102,368.4021130863102,267.57610958036827,266.06099629357254,9.979730163336122,30.57139456745016,30.57139456745016,36.497739028281266,36.497739028281266,13.365998489909126,13.365998489909126,35.23792095954198,35.23792095954198,49.522448500784975
63315,368.4021130863102,368.4021130863102,267.57610958036827,266.06099629357254,9.979730163336122,30.57139456745016,30.57139456745016,36.497739028281266,36.497739028281266,13.365998489909126,13.365998489909126,35.23792095954198,35.23792095954198,49.522448500784975
63316,368.4021130863102,368.4021130863102,267.57610958036827,266.06099629357254,9.979730163336122,30.57139456745016,30.57139456745016,36.497739028281266,36.497739028281266,13.365998489909126,13.365998489909126,35.23792095954198,35.23792095954198,49.522448500784975
33948,384.72254539556434,384.72254539556434,301.81108623461296,300.8340110945733,51.887643218594626,13.448971075860047,13.448971075860047,5.5129470564683185,5.5129470564683185,36.31046766677632,36.31046766677632,70.3508617099222,70.3508617099222,79.22865693915512
60233,375.2457536464884,375.2457536464884,278.3719876495206,276.9559453779116,21.148508978665472,20.82438628179885,20.82438628179885,25.430060343476555,25.430060343476555,8.87653278802645,8.87653278802645,41.633753253984914,41.633753253984914,53.610728818862164
62917,376.55036994233456,376.55036994233456,276.30640325937577,274.7569001523281,16.613631224626996,27.00879637640222,27.00879637640222,31.129300550575003,31.129300550575003,4.846734110723902,4.846734110723902,35.4147624640758,35.4147624640758,47.63466436840845
54736,366.6613365284491,366.6613365284491,260.87480413482064,259.1851057091061,0.0,40.54530211895978,40.54530211895978,46.37485163070469,46.37485163070469,19.745555455983805,19.745555455983805,28.31667913658266,28.31667913658266,43.96989336779525
62891,421.5050432615486,421.5050432615486,351.77990548256133,351.05577145386144,102.22131201406367,65.00543064816408,65.00543064816408,56.96723933665218,56.96723933665218,84.12773116865542,84.12773116865542,115.1748685279775,115.1748685279775,119.3147811196304
21257,421.5050432615486,421.5050432615486,351.77990548256133,351.05577145386144,102.22131201406367,65.00543064816408,65.00543064816408,56.96723933665218,56.96723933665218,84.12773116865542,84.12773116865542,115.1748685279775,115.1748685279775,119.3147811196304
25760,466.73032271394345,466.73032271394345,297.16792647529445,292.2522807865681,166.29380101423718,200.9263331896076,200.9263331896076,202.33534299212877,202.33534299212877,172.6447369726845,172.6447369726845,139.3734818694038,139.3734818694038,127.78038299568898
64728,388.4220427357339,388.4220427357339,263.83299719800993,261.2512960837338,38.13898005758492,73.95302237536565,73.95302237536565,76.99569409769943,76.99569409769943,46.00504440524026,46.00504440524026,11.769206755936507,11.769206755936507,15.230246657394794
58284,27.285650170797876,27.285650170797876,208.70231015413535,215.11495875711995,353.4097267203469,358.37194336995094,358.37194336995094,366.4586950694804,366.4586950694804,367.26077983051385,367.26077983051385,374.7754181564484,374.7754181564484,390.62169786684507
10904,399.27113940246767,399.27113940246767,267.23719317571073,264.28026187805636,55.336244713137425,90.16516276276135,90.16516276276135,92.53263398115142,92.53263398115142,61.92689688153816,61.92689688153816,28.066891469601707,28.066891469601707,20.187470674432035
34509,179.68809377841862,179.68809377841862,63.08894172445006,66.56311936585215,322.41987602382255,348.2935002925704,348.2935002925704,357.1943799548996,357.1943799548996,341.6562841251421,341.6562841251421,330.5760934344231,330.5760934344231,341.87431371828393
22147,421.5050432615486,421.5050432615486,351.77990548256133,351.05577145386144,102.22131201406367,65.00543064816408,65.00543064816408,56.96723933665218,56.96723933665218,84.12773116865542,84.12773116865542,115.1748685279775,115.1748685279775,119.3147811196304
64732,374.5318149554349,374.5318149554349,268.13482928647113,266.3666730461683,7.942712743633192,39.191968589390704,39.191968589390704,43.69857182465709,43.69857182465709,13.997573754698802,13.997573754698802,24.520324810957938,24.520324810957938,38.83547393226565
61221,366.212595549132,366.212595549132,264.1157158676842,262.56874403122583,6.805228614589058,33.915104256915235,33.915104256915235,40.0899434221042,40.0899434221042,16.401189201756903,16.401189201756903,33.85258012460853,33.85258012460853,48.79801840021226
61994,376.55036994233456,376.55036994233456,276.30640325937577,274.7569001523281,16.613631224626996,27.00879637640222,27.00879637640222,31.129300550575003,31.129300550575003,4.846734110723902,4.846734110723902,35.4147624640758,35.4147624640758,47.63466436840845
60231,95.96988054037608,95.96988054037608,153.10424012720608,158.9601789236428,380.40041414989906,397.4942512536903,397.4942512536903,406.35446414022323,406.35446414022323,397.9170536894377,397.9170536894377,394.9394452356397,394.9394452356397,408.6823967803255
26100,201.02081395124915,201.02081395124915,0.0,6.486169798610101,260.87480413482064,288.4529683387687,288.4529683387687,297.2769509856295,297.2769509856295,280.30173596421554,280.30173596421554,268.0098955334236,268.0098955334236,279.03361898141503
64646,386.74598333885086,386.74598333885086,328.1406776071758,327.9671520603765,96.87736233541689,56.42325495374485,56.42325495374485,52.385698860564084,52.385698860564084,83.41158079030868,83.41158079030868,117.6146778864671,117.6146778864671,126.41958122919485
64348,0.0,0.0,201.02081395124915,207.50500643378635,366.6613365284491,374.1720821617938,374.1720821617938,382.47443640268307,382.47443640268307,381.38863406178405,381.38863406178405,386.76712287941683,386.76712287941683,402.2913996459704
41317,366.6613365284491,366.6613365284491,260.87480413482064,259.1851057091061,0.0,40.54530211895978,40.54530211895978,46.37485163070469,46.37485163070469,19.745555455983805,19.745555455983805,28.31667913658266,28.31667913658266,43.96989336779525
41318,366.6613365284491,366.6613365284491,260.87480413482064,259.1851057091061,0.0,40.54530211895978,40.54530211895978,46.37485163070469,46.37485163070469,19.745555455983805,19.745555455983805,28.31667913658266,28.31667913658266,43.96989336779525
2053,399.27113940246767,399.27113940246767,267.23719317571073,264.28026187805636,55.336244713137425,90.16516276276135,90.16516276276135,92.53263398115142,92.53263398115142,61.92689688153816,61.92689688153816,28.066891469601707,28.066891469601707,20.187470674432035
64005,460.1128960775854,460.1128960775854,275.68906581537175,270.04966782685807,205.48195403987077,243.75810893589102,243.75810893589102,246.7243510598393,246.7243510598393,215.83853541754212,215.83853541754212,181.57865075032524,181.57865075032524,173.3592431823456
56913,375.2457536464884,375.2457536464884,278.3719876495206,276.9559453779116,21.148508978665472,20.82438628179885,20.82438628179885,25.430060343476555,25.430060343476555,8.87653278802645,8.87653278802645,41.633753253984914,41.633753253984914,53.610728818862164
58926,391.67066142561634,391.67066142561634,292.30907726557257,290.6967394750711,31.657510721705307,27.78778443440864,27.78778443440864,26.87408289457275,26.87408289457275,12.008284711690761,12.008284711690761,40.82353695257962,40.82353695257962,48.12447782161681
19690,266.7366257709482,266.7366257709482,195.58893361334418,196.15239166239922,101.53301846155253,108.59358942183363,108.59358942183363,117.25817459256088,117.25817459256088,114.8740939774493,114.8740939774493,125.16530878420815,125.16530878420815,141.5656490748103
